PSA,PSA Code,Street,City,State,Zip,Address_Unformatted,Latitude,Longitude,Address,confidence,confidence_city_level,confidence_street_level
Chandler Woods Charter Academy,41920,6895 Samrick Ave Ne,Belmont,MI,49306,"6895 Samrick Ave Ne, Belmont, MI 49306",43.08684587,-85.62900723,"6895 Samrick Avenue Northeast, Plainfield Charter Township, MI 49306, United States of America",1,1,1
Charlotte Forten Academy,82936,5690 Cecil Street,Detroit,MI,48210,"5690 Cecil Street, Detroit, MI 48210",42.336212,-83.128331,"Detroit (Detroit), MI 48210, United States of America",0.25,1,
Charlton Heston Academy,72901,1350 N Saint Helen Rd,Saint Helen,MI,48656,"1350 N Saint Helen Rd, Saint Helen, MI 48656",44.35320231,-84.41013182,"1350 North Saint Helen Road, St. Helen, MI 48656, United States of America",1,1,1
Charyl Stockwell Academy,47902,9758 E Highland Rd,Howell,MI,48843,"9758 E Highland Rd, Howell, MI 48843",42.629874,-83.759332,"9758 Highland Road, Howell, MI 48843, United States of America",0.9,1,0.9
Chatfield School,44901,231 Lake Dr,Lapeer,MI,48446,"231 Lake Dr, Lapeer, MI 48446",43.0475735,-83.3404559,"231 Lake Drive, Lapeer, MI 48446, United States of America",1,1,1
Cherry Hill School of Performing Arts,82960,28500 Avondale St,Inkster,MI,48141,"28500 Avondale St, Inkster, MI 48141",42.293488,-83.314827,"Inkster (Inkster), MI 48141, United States of America",0.25,1,
Clara B. Ford Academy (SDA),82996,20651 West Warren St,Dearborn Heights,MI,48127,"20651 West Warren St, Dearborn Heights, MI 48127",42.3402474,-83.2438701,"Clara B. Ford Academy, 20651 Whitlock Drive, Dearborn Heights, MI 48127, United States of America",1,1,1
Cole Academy,33901,1915 W Mount Hope Ave,Lansing,MI,48910,"1915 W Mount Hope Ave, Lansing, MI 48910",42.71199571,-84.57787271,"1915 West Mount Hope Avenue, Lansing, MI 48910, United States of America",1,1,1
Colin Powell Academy,82914,4800 Coplin St,Detroit,MI,48215,"4800 Coplin St, Detroit, MI 48215",42.3928416,-82.96317744,"4800 Coplin Street, Detroit, MI 48215, United States of America",1,1,1
Commonwealth Community Development Academy,82919,13477 Eureka St,Detroit,MI,48212,"13477 Eureka St, Detroit, MI 48212",42.4160853,-83.05537729,"13477 Eureka Street, Detroit, MI 48212, United States of America",1,1,1
Commonwealth Community Development Academy,82919,8735 Schoolcraft Street,Detroit,MI,48238,"8735 Schoolcraft Street, Detroit, MI 48238",42.38847049,-83.15647055,"8735 Schoolcraft Street, Detroit, MI 48238, United States of America",1,1,1
Concord Academy - Boyne,15901,401 E Dietz Rd,Boyne City,MI,49712,"401 E Dietz Rd, Boyne City, MI 49712",45.19031784,-84.97244415,"401 East Dietz, Boyne Valley Township, MI 49712, United States of America",0.9,1,0.9
Concord Academy - Petoskey,24901,2468 Atkins Rd,Petoskey,MI,49770,"2468 Atkins Rd, Petoskey, MI 49770",45.36288207,-84.91940076,"2468 Atkins Road, Bear Creek Township, MI 49770, United States of America",1,1,1
