District Code,District,Street,City,City,Zip,Address,Latitude,Longitude,Address_formatted,confidence,confidence_city_level,confidence_street_level
3169,Michigan International Prep School - Elsie,8989 E Colony Rd,Elsie,MI,48831,"8989 E Colony Rd, Elsie, MI 48831",43.0471271,-84.39271137,"Ovid-Elsie High School, 8989 East Colony Road, Elsie, MI 48831, United States of America",1,1,1
19900,Michigan International Prep School,3750 Cleary Dr,Howell,MI,48843,"3750 Cleary Dr, Howell, MI 48843",42.58746595,-83.88048113,"Cleary University, 3750 Cleary Drive, Howell, MI 48843, United States of America",1,1,1
19900,Michigan International Prep School,7034 E Court St ,Davison,MI,48423,"7034 E Court St., Davison, MI 48423",42.58746595,-83.88048113,"7034 E Court St., Davison, MI 48423, United States of America",1,1,1
19900,Michigan International Prep School,2715 State St,Saginaw,MI,48602,"2715 State St, Saginaw, MI 48602",43.43653847,-83.97585488,"2715 State Street, Saginaw, MI 48602, United States of America",1,1,1
20901,Kenquest Academy,Warriner Hall 265,Mt. Pleasant,MI,48859,"Warriner Hall 265, Mt. Pleasant, MI 48859",43.59114755,-84.77505593,"Warriner Hall, Franklin Street, Mount Pleasant, MI 48859, United States of America",0.666666667,1,
20901,Kenquest Academy,1135 North Old 27,Grayling,MI,49738,"1135 North Old 27, Grayling, MI 49738",44.701122,-84.733525,"1135 North Old US 27, Grayling, MI 49738, United States of America",0.9,1,0.9
23900,LifeTech Academy,854 Elmwood Rd,Lansing,MI,48917,"854 Elmwood Rd, Lansing, MI 48917",42.7432013,-84.6223938,"854 Elmwood Road, Lansing, MI 48917, United States of America",1,1,1
23900,LifeTech Academy,3101 Discovery Dr # A,Lansing,MI,48910,"3101 Discovery Dr # A, Lansing, MI 48910",42.699863,-84.516001,"3101 Manley Drive, Lansing, MI 48910, United States of America",0.63,1,0.63
23901,Island City Academy,6421 S Clinton Trl,Eaton Rapids,MI,48827,"6421 S Clinton Trl, Eaton Rapids, MI 48827",42.47363806,-84.65954371,"6421 South Clinton Trail, Eaton Rapids, MI 48827, United States of America",1,1,1
23902,Relevant Academy of Eaton County,220 Lamson St,Grand Ledge,MI,48837,"220 Lamson St, Grand Ledge, MI 48837",42.74995794,-84.74849155,"220 Lamson Street, Grand Ledge, MI 48837, United States of America",1,1,1
23903,Insight School of Michigan,526 S Creyts Rd,Lansing,MI,48917,"526 S Creyts Rd, Lansing, MI 48917",42.72866182,-84.64240952,"526 South Creyts Road, Delta Charter Township, MI 48917, United States of America",1,1,1
24901,Concord Academy - Petoskey,2468 Atkins Rd,Petoskey,MI,49770,"2468 Atkins Rd, Petoskey, MI 49770",45.36288207,-84.91940076,"2468 Atkins Road, Bear Creek Township, MI 49770, United States of America",1,1,1
24901,Concord Academy - Petoskey,2240 E. Mitchell,Petoskey,MI,49770,"2240 E. Mitchell, Petoskey, MI 49770",45.373371,-84.922452,"2240 East Mitchell Road, Petoskey, MI 49770, United States of America",0.7,1,0.7
25900,Genesee STEM Academy,5240 Calkins Road,Flint,MI,48532,"5240 Calkins Road, Flint, MI 48532",43.0166521,-83.78204243,"5240 Calkins Road, Flint Charter Township, MI 48532, United States of America",1,1,1
25901,Questar Academy,5106 Calkins Road,Flint,MI,48532,"5106 Calkins Road, Flint, MI 48532",43.01665706,-83.77752304,"5106 Calkins Road, Flint Charter Township, MI 48532, United States of America",1,1,1
25902,Woodland Park Academy,2083 E Grand Blanc Rd,Grand Blanc,MI,48439,"2083 E Grand Blanc Rd, Grand Blanc, MI 48439",42.91524671,-83.66877098,"2083 East Grand Blanc Road, Genesee County, MI 48439, United States of America",1,1,1
25903,Grand Blanc Academy,5135 E Hill Rd,Grand Blanc,MI,48439,"5135 E Hill Rd, Grand Blanc, MI 48439",42.94529119,-83.60642829,"5135 East Hill Road, Genesee County, MI 48439, United States of America",1,1,1
25904,Northridge Academy,4100 W Coldwater Rd,Flint,MI,48504,"4100 W Coldwater Rd, Flint, MI 48504",43.091912,-83.757324,"4100 Coldwater Road, Flint, MI 48504, United States of America",0.9,1,0.9
25905,International Academy of Flint,2820 S Saginaw St,Flint,MI,48503,"2820 S Saginaw St, Flint, MI 48503",42.99690843,-83.67807986,"2820 South Saginaw Street, Flint, MI 48503, United States of America",1,1,1
25905,International Academy of Flint,460 W. Atherton,Flint,MI,48507,"460 W. Atherton, Flint, MI 48507",42.99049,-83.680235,"460 West Atherton Road, Flint, MI 48507, United States of America",0.7,1,0.7
25906,Center Academy,310 West Oakley St,Flint,MI,48503,"310 West Oakley St, Flint, MI 48503",42.99710172,-83.68084336,"310 West Oakley Street, Flint, MI 48503, United States of America",1,1,1
25907,Linden Charter Academy,3244 N Linden Rd,Flint,MI,48504,"3244 N Linden Rd, Flint, MI 48504",43.05391194,-83.77270302,"3244 North Linden Road, Mount Morris Charter Township, MI 48504, United States of America",1,1,1
25908,Academy of Flint,Po Box 310716,Flint,MI,48531,"Po Box 310716, Flint, MI 48531",43.0161693,-83.6900211,"Flint, MI, United States of America",1,1,
25909,Burton Glen Charter Academy,4171 E Atherton Rd,Burton,MI,48519,"4171 E Atherton Rd, Burton, MI 48519",42.98970186,-83.62684986,"4171 East Atherton Road, Burton, MI 48519, United States of America",1,1,1
25910,Richfield Public School Academy,3807 N Center Rd,Flint,MI,48506,"3807 N Center Rd, Flint, MI 48506",43.04988685,-83.63585704,"3807 North Center Road, Flint, MI 48506, United States of America",1,1,1
25910,Richfield Public School Academy,6103 Eagle Ridge Ln,Flint,MI,48505,"6103 Eagle Ridge Ln, Flint, MI 48505",43.067398,-83.686304,"6103 Eagle Ridge Lane, Flint, MI 48505, United States of America",1,1,1
25910,Richfield Public School Academy,460 West Atherton Road,Flint,MI,48507,"460 West Atherton Road, Flint, MI 48507",42.98897838,-83.67997696,"460 West Atherton Road, Flint, MI 48507, United States of America",1,1,1
9450,Madison Academy -  Elementary/Middle School,6170 Torrey Rd,Flint,MI,48507,"6170 Torrey Rd, Flint, MI 48507",42.93935143,-83.73171692,"6170 Torrey Road, Mundy Charter Township, MI 48507, United States of America",1,1,1
499,Madison Academy - High School,3266 S Genesee Rd,Burton,MI,48519,"3266 S Genesee Rd, Burton, MI 48519",42.9823824,-83.61402839,"3266 South Genesee Road, Burton, MI 48519, United States of America",1,1,1
25912,The New Standard Academy,2040 W Carpenter Rd,Flint,MI,48505,"2040 W Carpenter Rd, Flint, MI 48505",43.07749005,-83.71566432,"The New Standard Academy, 2040 West Carpenter Road, Flint, MI 48505, United States of America",1,1,1
25913,Alternative Path Academy,5306 North St,Flint,MI,48505,"5306 North St, Flint, MI 48505",43.06208071,-83.6905098,"5306 North Street, Flint, MI 48505, United States of America",1,1,1
25914,Greater Heights Academy,3196 W Pasadena Ave,Flint,MI,48504,"3196 W Pasadena Ave, Flint, MI 48504",43.04625294,-83.73912032,"3196 West Pasadena Avenue, Flint, MI 48504, United States of America",1,1,1
25915,WAY Academy - Flint,817 E Kearsley St,Flint,MI,48503,"817 E Kearsley St, Flint                                                       , MI 48503",43.02099722,-83.68256398,"817 East Kearsley Street, Flint, MI 48503, United States of America",1,1,1
25915,WAY Academy - Flint,817 E Kearsley St,Flint,MI,48503,"817 E Kearsley St, Flint, MI 48503",43.02099722,-83.68256398,"817 East Kearsley Street, Flint, MI 48503, United States of America",1,1,1
25915,WAY Academy - Flint,555 Briarwood Cir,Ann Arbor,MI,48108,"555 Briarwood Cir, Ann Arbor, MI 48108",42.2417143,-83.74103815,"555 Briarwood Circle, Ann Arbor, MI 48108, United States of America",1,1,1
25916,Eagle's Nest Academy,5005 Cloverlawn Dr,Flint,MI,48504,"5005 Cloverlawn Dr, Flint, MI 48504",43.05952918,-83.72964237,"5005 Cloverlawn Drive, Flint, MI 48504, United States of America",1,1,1
25917,The Paris Academy,10751 S Saginaw St,Grand Blanc,MI,48439,"10751 S Saginaw St, Grand Blanc, MI 48439",42.936433,-83.640121,"10751 South Saginaw Street, Grand Blanc, MI 48439, United States of America",1,1,1
25918,Flex High School of Michigan - North Flint,4945 Clio Rd,Flint,MI,48504,"4945 Clio Rd, Flint, MI 48504",43.05772016,-83.73302114,"4945 Clio Road, Flint, MI 48504, United States of America",1,1,1
25918,Flex High School of Michigan - Burton Center,1245 S Center Rd,Burton,MI,48509,"1245 S Center Rd, Burton, MI 48509",43.0138141,-83.6347399,"1245 South Center Road, Burton, MI 48506, United States of America",1,1,1
25919,Flint Cultural Center Academy,1200 Robert T Longway Blvd,Flint,MI,48503,"1200 Robert T Longway Blvd, Flint, MI 48503",43.025476,-83.67867,"1200 Robert T Longway Boulevard, Flint, MI 48503, United States of America",1,1,1
26901,Creative Learning Academy,540 Lang Rd,Beaverton,MI,48612,"540 Lang Rd, Beaverton, MI 48612",43.8868761,-84.49618664,"540 Lang Road, Beaverton, MI 48612, United States of America",1,1,1
28900,Old Mission Peninsula School,2699 Island View Rd,Traverse City,MI,49686,"2699 Island View Rd, Traverse City, MI 49686",44.8724706,-85.5211356,"Old Mission Peninsula School, 2699 Island View Road, Traverse City, MI 49686, United States of America",1,1,1
28901,Woodland School,7224 Supply Rd,Traverse City,MI,49686,"7224 Supply Rd, Traverse City, MI 49686",44.68979425,-85.42861953,"Woodland School, 7224 Supply Road, Traverse City, MI 49686, United States of America",1,1,1
28902,Grand Traverse Academy,1245 Hammond Rd E,Traverse City,MI,49686,"1245 Hammond Rd E, Traverse City, MI 49686",44.717509,-85.552774,"1245 East Hammond Road, Traverse City, MI 49686, United States of America",1,1,1
28903,Traverse City College Preparatory Academy,1402 Carlisle Rd,Traverse City,MI,49686,"1402 Carlisle Rd, Traverse City, MI 49686",44.707076,-85.545027,"1402 Carlisle Road, East Bay Township, MI 49696, United States of America",0.441,0.441,0.441
28904,The Greenspire School  ,1026 Red Dr,Traverse City,MI,49684,"1026 Red Dr, Traverse City, MI 49684",44.75239305,-85.64688717,"Greenspire Middle School, 1026 Red Drive, Traverse City, MI 49684, United States of America",1,1,1
28904,The Greenspire School ,2200 Dendrinos Dr,Travse City,MI,49684,"2200 Dendrinos Dr, Travse City, MI 49684",44.742015,-85.619955,"2200 Dendrinos Drive, Garfield Township, MI 49684, United States of America",0.95,1,1
30901,Hillsdale Preparatory School,160 Mechanic Rd,Hillsdale,MI,49242,"160 Mechanic Rd, Hillsdale, MI 49242",41.934475,-84.68375,"Mechanic Road, Hillsdale, MI 49242, United States of America",0.5,1,1
30902,Will Carleton Charter School Academy,2001 W Hallett Rd,Hillsdale,MI,49242,"2001 W Hallett Rd, Hillsdale, MI 49242",41.912706,-84.651112,"2001 West Hallett Road, Hillsdale, MI, United States of America",1,1,1
31900,Copper Island Academy,52125 Industrial DR. N.,Calumet,MI,49913,"52125 Industrial DR. N., Calumet, MI 49913",47.247416,-88.454578,"Calumet (Calumet), MI 49913, United States of America",0.25,1,
33900,Insight School of Michigan,"6512 Centurion, Suite 320",Lansing,MI,48917,"6512 Centurion, Suite 320, Lansing, MI 48917",42.7236082,-84.6449764,"Insight School of Michigan, 6512 Centurion Drive, Lansing, MI 48917, United States of America",0.9,1,0.9
33901,Cole Academy,1915 W Mount Hope Ave,Lansing,MI,48910,"1915 W Mount Hope Ave, Lansing, MI 48910",42.71199571,-84.57787271,"1915 West Mount Hope Avenue, Lansing, MI 48910, United States of America",1,1,1
